title,subject,year_group,key_stage,unit,learning_objective,oak_url
'Five Little Ducks Went Swimming One Day',English,Year 1,ks1,,I can listen to and learn 'Five Little Ducks Went Swimming One Day'.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/nursery-rhymes-reading-poetry/lessons/five-little-ducks-went-swimming-one-day
'Hickory Dickory Dock',English,Year 1,ks1,,I can listen to and learn 'Hickory Dickory Dock'.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/nursery-rhymes-reading-poetry/lessons/hickory-dickory-dock
'Little Bo Peep',English,Year 1,ks1,,I can understand that a nursery rhyme is a traditional song or poem for children.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/nursery-rhymes-reading-poetry/lessons/little-bo-peep
'The Magic Porridge Pot',English,Year 1,ks1,,I can listen to and learn 'The Magic Porridge Pot'.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/nursery-rhymes-reading-poetry/lessons/the-magic-porridge-pot
Adjectives: expanded noun phrases,English,Year 1,ks1,,I can write an expanded noun phrase.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/word-class/lessons/adjectives-expanded-noun-phrases
Adjectives: to compare,English,Year 1,ks1,,I can use an adjective to compare nouns.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/word-class/lessons/adjectives-to-compare
Adjectives: to describe,English,Year 1,ks1,,I can define and identify an adjective.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/word-class/lessons/adjectives-to-describe
Adverbs,English,Year 1,ks1,,I can define and identify an adverb.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/word-class/lessons/adverbs
Asking and answering questions,English,Year 1,ks1,,I can listen to and answer questions about myself.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/speaking-and-listening/lessons/asking-and-answering-questions
Character description of Jack in 'Jack and the Beanstalk',English,Year 1,ks1,,I can join two ideas together when describing Jack.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/jack-and-the-beanstalk-reading-and-writing/lessons/character-description-of-jack-in-jack-and-the-beanstalk
Character description of a family member,English,Year 1,ks1,,I can describe a member of my family using adjectives and adverbs.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/anna-hibiscus-song-reading-and-writing/lessons/character-description-of-a-family-member
Character description of the giant in 'Jack and the Beanstalk',English,Year 1,ks1,,I can join two ideas together when describing the giant.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/jack-and-the-beanstalk-reading-and-writing/lessons/character-description-of-the-giant-in-jack-and-the-beanstalk
Character description of the wolf in 'The Three Little Pigs',English,Year 1,ks1,,I can join two ideas together to describe the wolf.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/the-three-little-pigs-reading-and-writing/lessons/character-description-of-the-wolf-in-the-three-little-pigs
"Character, setting and plot in 'Anna Hibiscus' Song'",English,Year 1,ks1,,"I can make a prediction based on illustrations, the setting and key vocabulary.",https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/anna-hibiscus-song-reading-and-writing/lessons/character-setting-and-plot-in-anna-hibiscus-song
"Characters and plot in the story 'Ada Twist, Scientist'",English,Year 1,ks1,,"I can talk about the characters and plot in the story ""Ada Twist, Scientist"" to make a prediction.",https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/ada-twist-scientist-reading-and-writing/lessons/characters-and-plot-in-the-story-ada-twist-scientist
Characters in 'A Superhero Like You',English,Year 1,ks1,,I can discuss characters and events in the story.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/a-superhero-like-you-reading-and-writing/lessons/characters-in-a-superhero-like-you
"Characters, setting and plot in 'Paddington'",English,Year 1,ks1,,"I can explore the characters, setting and plot in the story 'Paddington'.",https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/paddington-reading-and-writing/lessons/characters-setting-and-plot-in-paddington
"Characters, settings and plot in 'Wild'",English,Year 1,ks1,,"You can identify the characters, setting and plot of the story 'Wild'.",https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/wild-reading-and-writing/lessons/characters-settings-and-plot-in-wild
Co-ordination with 'and',English,Year 1,ks1,,I can join two simple sentences with 'and'.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/simple-sentences/lessons/co-ordination-with-and
Comparing 'Coming to England' to 'Paddington',English,Year 1,ks1,,I can listen and respond to a story based on a true event.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/paddington-reading-and-writing/lessons/comparing-coming-to-england-to-paddington
Comparing adjectives and adverbs to show emotion,English,Year 1,ks1,,I can choose appropriate adjectives and adverbs to show a range of emotions.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/anna-hibiscus-song-reading-and-writing/lessons/comparing-adjectives-and-adverbs-to-show-emotion
Comparing emotions and feelings in 'Paddington',English,Year 1,ks1,,I can choose appropriate adjectives to show the range of Paddington's emotions throughout the story.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/paddington-reading-and-writing/lessons/comparing-emotions-and-feelings-in-paddington
Comparing fairy tales,English,Year 1,ks1,,I can compare some well-known fairy tales.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/the-magic-porridge-pot-reading-and-writing/lessons/comparing-fairy-tales
Describing the goats in 'The Three Billy Goats Gruff',English,Year 1,ks1,,I can write a sentence with an adjective to describe one of the goats in 'The Three Billy Goats Gruff'.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/the-three-billy-goats-gruff-reading-and-writing/lessons/describing-the-goats-in-the-three-billy-goats-gruff
Describing the setting in 'Anna Hibiscus' Song',English,Year 1,ks1,,I can describe a setting using a range of adjectives.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/anna-hibiscus-song-reading-and-writing/lessons/describing-the-setting-in-anna-hibiscus-song
Describing the setting of 'Paddington',English,Year 1,ks1,,I can describe a setting using a range of adjectives.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/paddington-reading-and-writing/lessons/describing-the-setting-of-paddington
Describing the setting of 'Wild',English,Year 1,ks1,,"You can write descriptive sentences about the setting in the story, 'Wild'.",https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/wild-reading-and-writing/lessons/describing-the-setting-of-wild
